,post,response
1637,Good luck getting help with your intellectual issues. 🙄🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,reinforce
1638,"The difference is… HB was guilty of an actual crime(s). Wake up asshole, the spin you’re trying to sell isn’t being bought. Trump is being railroaded by corrupt politicians and judges. Hunter is actually guilty. Wait till he starts singing to the Feds, could be the first domino in the Biden Crime Syndicate to go down then it’s over for them. Get the fuck out of our White House.",reinforce
1639,Sometimes I can’t help myself they have been blocked and muted,reinforce
1640,THEY ARE THE ONES STARING THE AUTOMATIC DRAFT AT THE AGE OF 18!!!,reinforce
1641,You’re New President…,reinforce
1642,Because he is guilty you dumbass. Keep drinking that Koolaid snowflake. ✌️😘,reinforce
1643,# LiberalismIsAMentalDisorder @ realDonaldTrump,reinforce
1644,The choice of words matter and felon Trump seems to know and use many expletives. To put it mildly.,reinforce
1645,"The Democratic Party is built on war, and Joe Biden needs a lot of money to fill the financial void",reinforce
1646,Except you can actually name the actual Crime of one. And Not the other. Thanks for playing. And Who told you there were threats? Why can’t the Biden DOJ track them down?🤔,reinforce
1647,U2 😁,reinforce
1648,😢😢😢😢😢😢,reinforce
1649,I am so sorry for what you have gone through for us😢 Prayers for you and your ￼ triumph over evil.,reinforce
1650,The GOP keeps voting to cut discretionary spending. Take it up with them.,shift
1651,"news, withering on the vine that sprouted it Sir, no longer putting out viable ""eating"" material. 💖MAGA💖here to stay🌻✌️💖",reinforce
1652,Trump is the only President I’ve witnessed that did start another war. Why would he ever want a draft for the military if he does not support never-ending wars like the Dems want for their military industrial complex’s donors?,reinforce
1653,I think you did just fine damaging your own reputation.,reinforce
1654,"President Trump needsto hire Dershoswitz, Kimberly Guilfoyl and Kash Patel on his Attorneys team. @ realDonaldTrump",reinforce
1655,Fuck off grammar nazi,reinforce
1656,I think it might be a good idea for all these lazy kids were raising it would be good discipline teaching them responsibilities.,reinforce
1657,No one buys any of your bs on the military. You called them suckers and losers. It’s an easy win for republicans to defend them- but you only pretend to.,reinforce
1658,"What’s your point? We didn’t have war under Trump, because he didn’t start any. Strength and Peace is what we want not war.",reinforce
1659,That’s the only way Mr President they spread lies to make FJB sleepy corrupt Joe look good 🤣 the only problem most of us know fake news are like Joe liars!,reinforce
1660,"Lol seriously? The only ones that would make the cut to be a military service member are Trump supporters. The left are too fat, drugged up, weak minded, selfish, gender confused and overall just a waste of blood and bones to ever serve this country",reinforce
1661,Well that's a good indicator with the demo rats will do if they get control of the presidency House and Senate because they always do what they accuse everybody else of doing or will do. Americans need to wake up to these demo rats. They're globalist they want a place in the EU the New World Order. Just look at what's going on in Europe look at the elections going on for the EU and in Europe and you tell me. Do you research before you vote for a demo rat,reinforce
1662,He’s the only president who has actively tried to keep the US out of foreign conflicts and has actively pursued peace treaties in the Middle East.,reinforce
1663,If there are no wars then no mandatory draft is necessary.,reinforce
1664,Good Morning Mr.President,reinforce
1665,He sent them to gulag slave labor camps for treason. Not at all the same.,reinforce
1666,Nobody has to make up stuff for what the Trump says. There’s more ￼ than enough to disqualify him to lead us by just listening to his own words over the past many years!!!,reinforce
1667,Amen to that. 🇺🇸,reinforce
1668,"Trump doesn’t have to reinstate the draft to repair the loss of support for military service. As the Commander and Chief, he needs to remove command officers who politicized the mission of the military to advance their political agenda.",reinforce
1669,WAMAZON POST,reinforce
1670,That’s all folks… nothing else to read here! Damn!😂😂😂😂,reinforce
1671,Trump isn’t the President.,reinforce
1672,What's he gonna do a half an hour of community service. It's all a Theatrical SHOW,reinforce
1673,"Time will tell. We haven’t heard his sentence yet. Most likely the only reason at least some justice has been done, is it’s right before an election and all eyes are on this.",reinforce
1674,Accusations of the Democrats are confessions,reinforce
1675,What is The Washington Compost going to write about Convicted Felon & Crackhead HUNTER BIDEN? The FBI couldn’t solve Hunters Laptop Case. They claimed it was Russian Disinformation.,reinforce
1676,"Denials, name-calling, and whining. Some things never change.",reinforce
1677,SHOW…THE…PROOF So far Comer has shown he does not have proof. So keep believing in your conspiracy theories. But know this Biden is your President and he will continue to be your President. As for Trump being respected- full on bullshit. I can forward a link to the video where he was laughed at during a UN speech? How about the Prime Minister of Australia saying how the orange shit would grovel in front of Putin like a little bitch. Do you think the world respected him after he sucked up to Kim Jung Un? You’re delirious. Wake up,challenge
1678,Washington Compost!!!!!,reinforce
1679,"Speaking of degenerates, how are you doing today Dozey Donald?",reinforce
1680,"We have 5 months months til election. The fake news is working for Biden and they are going to make so many attempts to lie about Trump. It’s like falling for scams. We the people are sick of the scams. And, we ain’t falling for any of it.",reinforce
1681,Yes some people don't like it because I have a trump sign right underneath my flag. The liptards go f****** crazy but I've been going against the grain for quite some time now because I believe in the American way of life freedom from oppression fair play Love Thy Neighbor no matter what color they are or their ethnic background this is the American way. They are trying to destroy us make us hate each other lie to us steal from us all. Americans deserve better the world deserves better from corrupt politicians. We all have more in common than we think I believe we are inherently good although we are not seeing it when your leaders are corrupt the world is in chaos history tells us this and the future hasn't been written yet. Or has it are we doomed to repeat the past we have a chance a very slim chance to save the world from this evil harsh I don't think so chaos is the beginning of the end or so the Bible says belief something greater than us Maybe humanities savior.,reinforce
1682,When will MSM Realize they are being used by the DemoRATS more than anyone else is? The Propaganda they Spew is Outrageous…,reinforce
1683,"Well, if they don’t use fake stories, they have no stories at all.",reinforce
1684,NEVER SURRENDER!!! CAN’T STOP THE GREATEST POLITICAL PRISONER OF ALL TIME!!! FREE TRUMP FROM THE RIGGED PROSECUTION!!!,reinforce
1685,Fine they all and pay off the debt they ran up,reinforce
1686,We know and support you President Trump.,reinforce
1687,I hope you’re listening to Levin’,reinforce
1688,"The crime was claiming hush money to a porn star was a legal expense, moron.",reinforce
1689,I’m IN! Two years mandatory in order to finish (not start) college. It works in South Korea to this day. Been there. Love it.,reinforce
1690,The left is lying again,reinforce
1691,They always do this. This is exactly what they will be doing. It’s all a nightmare.,reinforce
1692,"Well DumoRats, if you can't win fair and square and keep ones integrity intact, why not just cheat and deceive the voters who just may violently turn on you in the near future.",reinforce
1693,"Well you wouldn't think of military service would you. As youa cowardly draft dodger x 5 times. Mind you, you shoild face a firing squadcfor lyingvto the American people for all your life. You're the lowest form of life i know. Not even fit to wipe thd floor with your arse. You lie, defraud, defame, destroy, and cheat. Your sort are not fit to be in power anywhere. Do some good for a change and leave politics and retire without trace. Loser",reinforce
1694,"Great question, that’s more time consuming than I have time for, but it’s a great subject to peruse.",reinforce
1695,"MAGA, knew he was going to be found guilty just so the left wing could say the justice system is equal. But I’m guessing he will be pardoned by his daddy and the Democratic Party think what you want the truth will eventually be shoved in your face.",reinforce
1696,Explain how they enhanced America or Americans please.,reinforce
1697,Add them to the list of traitors to be tried and punished for treason! Coming soon!,reinforce
1698,"Geez … do some research. George H.W. Bush was a WWII bomber pilot. Come on, man. You have an uncle or cousin or aunt or grandfather or someone in your family who served. Many, possibly most, multi-generation American families do. Not the trumps. And even that would be ok, if they respected those who have served and didn’t mock the service of POWs like John McCain and disparage our war dead.",challenge
1699,Of course you won’t do this. Your son doesn’t have bone spurs and he is 18.,reinforce
1700,What branch of the military did Joe Biden serve in? What branch did Obama serve in? What branch did Clinton serve in? Don’t throw rocks when you live in a glass house.,reinforce
1701,"I don’t think it’s a bad idea, at least for 1 year.",reinforce
1702,Americans love President Trump,reinforce
1703,So you’re saying that MAGA Erica versus retarded and composted,reinforce
1704,"I’m very glad each of your brothers are upstanding Americans and responsible fathers. But come on. You have an uncle or cousin or aunt or grandfather or someone in your family who served. Many, possibly most, multi-generation American families do. Not the trumps. And even that would be ok, if they respected those who have served and didn’t mock the service of POWs like John McCain and disparage our war dead.",challenge
1705,"No, but those who vote, especially women can!!!",reinforce
1706,Because that is what the left wants. They continually project either thier plans or what they are already doing. Its classic commie crap.,reinforce
1707,Neither did Bush Biden how bout you?,reinforce
1708,"Yeah, but what punishment will be imposed. I know. A slap on the wrist.",reinforce
1709,It's clear you're the piece of shit spewing that FAKE NEWS. Go get a sex change and shut yo lying ass face!,reinforce
1710,Haha! Talk about brainwashing people!! Their lemmings following the wrong leadership!! ￼￼,reinforce
1711,Serving is serving whether civilian or military. Many civilians serve our country in the defense department.,reinforce
1712,If it’s a liberal journalist…it’s fake news.,reinforce
1713,I see multiple Newsfeeds lying about you every single day. You need a full time scrapper to push back. I’m not seeing your Team on defense. To much is getting by without being challenged. Please call in the Calvary your flanks are wide open.,reinforce
1714,The jury had to convict. Just to make it look like a trial. The sentencing phase is when the meat hits the table.,reinforce
1715,Yeah no sentence except-don’t do it again son. 🤦🏻‍♀️,reinforce
1716,How do you know none of his family were ever in a war .how far back did you go,reinforce
1717,Fake news has degenerated even further into the Filth news. And the Washington Post is one of the filthiest! Their stench can be detected throughout the world. 💩,reinforce
1718,Democrat socialists are pulling every lie out of the hat possible ! Their lies show desperation! Complete sick desperation!,reinforce
1719,News from facebook was bogus and make up. What Trump needs to do is keep his mouth shut because all it spews is his daily BS and whinning from a man with bone spurs. He had no problem over the years from golfing every day but when it came to carrying a rifle then those dam bone spurs act up. Truly funny.,reinforce
1720,Rednecks in red hats are so easily manipulated.,reinforce
1721,"Biden is lying again until the election. No one is ignorant enough to believe if he gets reelected he won't pardon Hunter and the entire Biden family. The man who promised unity has caused more division. The man who promised to save the soul of American encourages abortions and sex changes for children. The man who promised prosperity has ruined our economy, the man who claimed he knew Xi and Putin better than anyone has ignited wars and caused chaos. The man who is now pretending to close our border will invite more illegal immigrants into our country and put this country in more danger than ever before. He blatantly lied to all of us about Hunter's laptop to get elected in 2020 and he lies about almost everything.. Don't ever expect honesty from Biden.",reinforce
1722,You think all of his crimes are funny? Selling our secrets to Russia and Iran!,reinforce
1723,"There will be many many more, unfortunately. The propaganda machine has been turned up to high speed.",reinforce
1724,"I was Navy (Navigation). I think the experience was positive overall and that many would benefit from a military experience. Many would not benefit and indeed be an impediment to the military. However, there could come a time when military service is not an option if the nation is to continue its existence.",reinforce
1725,Outstanding post!!!! And@I’ll add election fraud is one of those terms now used for a term that was fine without it we called it HIGH FUCKING TREASON AND TRAITOR… punishable by death….. I’ll bring the popcorn who’s bringing the rope lol,reinforce
1726,Wow. TERMINAL CASE OF TDS,reinforce
1727,Sue them for everything they got for false statements and defamation of character.,reinforce
1728,"Speaking of dead compost, have you considered removing that dead animal?",reinforce
1729,"The guilty are shaking in their boots fantasizing a punishment they deserve, the pain they are suffering is almost worth the lies they are telling, exposing themselves for what they are, WTP know @ realDonaldTrump , success will be his revenge.",reinforce
1730,Panic in DC. Nov is time to pay the piper,reinforce
1731,How am I a liar?,reinforce
1732,"Well, because no one has been chasing after him, defaming him and accusing him of committing crimes all the whilst being innocent, and yet again no one accusing him or that’s found responsible has had to pay for Theo crimes. So just stfu and crawl back into your safe hole before someone puts in one ya cunt. I would hate to see you get hurt. Gotta be safe out there.",reinforce
1733,The fact you are saying it isn’t true. Makes it an absolute fact! All your fat ass knows how to do is lie! FUCK YOU TRAITOR FELON TRUMP🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻🖕🏻,reinforce
1734,FUCK EM!!! # KARMAS /COMING!,reinforce
1735,The Democrats always project what they plan on doing or are doing. They weaponized the DOJ/FBI to go after President Trump and his associates but are claiming Trump is going to do it to get them. This nonsense only gains traction when the corrupt corporate media pushes the lies are well.,reinforce
1736,"no, you meant you would have a youth group of brown-shirted young people who would sing, “the rotten bones are trembling” by hans bauman. # DiaperDon",reinforce
1737,No he won’t as long as the real truth comes out,reinforce
1738,Democrats spread that every election cycle about the GOP. But it is the Dems in congress who always attempt to bring back the draft and it is always the GOP that votes it down. Democrats ALWAYS accuse their enemies of what they themselves are doing. ALWAYS.,reinforce
1739,"Will good for you dip-shit! I served 22 myself and I own my house, far from the trailer park you live in !! Probably only served less than 4 before you quit or got UCMJ booted out!!",reinforce
1740,I’m worried ur picking the wrong VP & other people u r choosing. Don’t deplete the Congress. No Nancy Mace,reinforce
1741,They are truly demented,reinforce
1742,Block the noise,reinforce
1743,"Whatever … PS - consider using commas or periods to break up your run-on sentence(s). It helps your reader at least comprehend whatever crazy, unhinged shit you are trying to spew. 😂😂",reinforce
1744,What does that have to do with Biden checking his watch. Deflect much?,reinforce
1745,"Well let's see, a business gets a bill, they pay it, they log it for accounting purposes in a ledger so they can keep the books straight, educated people call that BOOKKEEPING. Listen, if you can't keep up you should probably stay out of intelligent conversations, your ignorance is on full display",reinforce
1746,Smiling about butchering a lil 3yr old white boy his mama in the hospital she was stabbed also the dad has no son now Father’s Day in less than 3 days but she smiles about her evil deed,shift
1747,A Biden was dishonorably discharged from the military for drug use What was Joe Biden’s rank in the military you retard? What was Barack Obama‘s rank in the military you retard? What was Bill Clinton‘s rank in the military you retard ?,reinforce
1748,The story must be true if you are denying it and trying to blame it on the media. Right out of your playbook.,reinforce
1749,"@ realDonaldTrump I'll tell you what's running off your voters. YOU!!! You ramble and bitch about your trials. A FORMER MAGAt filmed himself after going to your rally. You should listen to it. Needless to say, he's NO LONGER MAGA.",reinforce
1750,This propaganda machine loves to throw POO. Anything that might stick to the wall…..truth be damned,reinforce
1751,"Who are you calling degenerate, convicted felon?",reinforce
1752,I would gladly serve to get rid of the shiat,reinforce
1753,"Yes, they should both be jailed or at least drug through the “legal” system and put on front of a Democrat hating judge and jury.",reinforce
1754,"This sounds like something Biden and the democrates would do. Get elected, get WW3 started and start the draft again.",reinforce
1755,"Did MORE FOR OUR MILITARY THAN BIDEN and BARACK HUSSEIN, put together, And NEVER OWNED SLAVES!!!! SUK on that!",reinforce
1756,"Because Hunter was clearly guilty of these crimes. He and his family should be tried for treason, a crime with the punishment of death.",reinforce
1757,Who did Trump rape?,reinforce
1758,They are only broadcasting what THEY intend to do.,reinforce
1759,"As long as you don’t put any neocons in power we don’t care what you do Mr President. We are here for YOU! Not Nikki Haley, not JD Vance, YOU!",reinforce
1760,"They will either..... 1. Will ignore you & act like you didn't ask 2. Give you a fictional propaganda ""source"" without context because it was removed for story selection. 3. Make a stab, you can provide the transcript to prove how media manipulated them by ommiting key 🗝️ context. 4. They will personally attack you for proving they have been lied to and manipulated. 5 or go into meme 🤡 clown mode. What they will not do is prove using a credible source a lie that Trump told. And there's good reason for that the only place this idea exist is then the propaganda that they follow that brainwashes them to believe things that aren't true in order to take their vote",reinforce
1761,"Unfortunately, I knew a guy, since he was 14/15. 2 yrs ago he ate a bullet. It’s Sooo Heartbreaking! And His Family is Struggling so badly!",reinforce
1762,Americans don’t want to fight wars for other nations. We need to stop # GenocideJoe and cut off the neocons before we are dragged into a war with Iran! # NoNewWars # AmericaFirst # MakeMAGAGreatAgain,reinforce
1763,"Piss off, Caroline.",reinforce
1764,"Because everyone knows the charges are real, the crimes were committed and Hunter is a crackhead. Unlike Trump",reinforce
1765,"Hey Caroline, may I address your immense following? Think about the damage that has been inflicted on our country by Biden and you, his clueless followers. Shame on you!",reinforce
1766,Truly surprised donnie brat never heard the old chant. Sticks and stone can break your bones but names can never harm ya.,reinforce
1767,Because HUNTER BIDEN is GUILTY and everyone KNOWS it!,reinforce
1768,Well if trump says its FAKE...its true...trump gets upset 😡 when he is caught in a lie,reinforce
1769,So you think THIS is ruining our country?,reinforce
1770,We DO SEE right through their lies Sir!!,reinforce
1771,I see a Liberal Socialistic Demoncrap propaganda!,reinforce
1772,Yes because the president of the United States has control of this. Get real.,reinforce
1773,"Because morons like you are and morons like you need to know what IS true and what is just more Trump bullshit. Frankly, how can you look yourself in the face in view of 'patriot' Trump's views on vets and the military? Shame, shame, shame on you!",reinforce
1774,"If the Country gets lucky Hunter will commit suicide as Jeffery Epstein did. Perfect setting, guards fall asleep, cameras are inoperable and his neck is broken before a sheet is tied around his neck",reinforce
1775,I fought for over 4 yrs. But I think the VA needs better people working there. I wish they just go to community care.,reinforce
1776,The sad truth is that going into the military may make some of these pansies real men.,reinforce
1777,Since when the GOP led Congress can't get a border bill passed. Are you stuck on repeat? 🤨,reinforce
1778,Yeah fucking retard; it’s either that or we become a communist country! Who’s ignorance is really showing? Go look in a mirror and you’ll see him!,reinforce
1779,Russian collusion hoax........ never forget it. weaponization !,reinforce
1780,"Mandatory Military Tribunals for the deep state. They only overheard a few words. Military 3:30 am apprehensions, humiliating public perp walks chained and shacked, gag orders, seizer of all assets, televised trials from Guantanamo. This is why we are voting for you.",reinforce
1781,I mean we would have less young people getting into so much trouble if tge served at least 4 years in the military.,reinforce
1782,I am now embarrassed to say that I was a Washington Post delivery boy for two years. How humiliating!,reinforce
1783,"Yup, Bus the ILLEGALS to Every democrat Sanctuary Shity!! They wanted em, Now hopefully the ILLEGALS start killing ALL democrats....",reinforce
1784,Running for reelection is a slap to the head as well. But if congress had a backbone We the People would have said goodbye to this corrupt resident in the first 6 months of taking office. The Southern border invasion,reinforce
1785,Joe Biden will pardon hunter Biden soon. But then he repeatedlyNo One Is Above the Law 🤮,shift
1786,A degenerate paper with degenerate readers.,reinforce
1787,"Think? These are facts, Yanker",reinforce
1788,￼🙏🙏🇺🇸🇺🇸❤️🤍💙,reinforce
1789,Wouldn’t expect anything less from a draft dodger…you people really believe he is a patriot when he wouldn’t go and fight for his country?,reinforce
1790,Traitors get a traitors….you know….the thing.,reinforce
1791,Jail All Their Asses!!!,reinforce
1792,"Fake felonies, Fake convictions, Fake news. Trump is the truth !!! Trump 2024.",reinforce
1793,Shame on you for being so foul. Trump loves the military.,reinforce
1794,It's just crazy this fake news.,reinforce
1795,Yea nothing will happen.The untouchables!,reinforce
1796,"No, but that is what you were talking about, did you forget?",reinforce
1797,"Really, son?",reinforce
1798,"I, too, was watching him when he said it. Methinks you’re the little dog here.",reinforce
1799,"If you’re making a post about it, it’s likely true",reinforce
1800,We dont believe anything that comes out a dems mouth or the fake news! We stand with president Trump!,reinforce
1801,"We do not need mandatory military service although many of the confused soy youth actually need it. No wars under Trump, no need for conscription...",reinforce
1802,Wow they are sinking to a new low (maybe not) fabricating scare tactics. Trump is against war more than the entire democrat party. We have dumb enough people that will believe anything they read.,reinforce
1803,She is absolutely the best public speaker when you put her next to oatmeal brain Joe.,reinforce
1804,"And people need a permit for a gun? This Nazi-style propaganda monopoly is more dangerous than any one gun. If you misuse a gun that you have a permit for, you will probably lose your license. We must find a way to hold these liars responsible for the hijacking of our Democracy, with their lies. Imagine them losing their permit to print the lies, based upon due process in court, of course. What would happen to the Washington Post if their permit to print was revoked, for contempt, for 30 days? How can lying to a judge be considered contempt, but manipulating our Democracy with lies is not? Freedom of the Press is NOT freedom to lie. Freedom of the Press is freedom to tell the TRUTH. Any and all Media outlets of information that reach a minimum amount of subscribers/viewers should have to obtain a permit. The only ones who would have a problem with this, are the liars.",reinforce
1805,All they have is lies .,reinforce
1806,"President Trump don't need to do this to make the military strong again, he only needs to get the gay trans community out of the service along with the woke and dei. This is what caused the service to only keep the worthless leaders and all the great leaders left on top of the COVID-19 mandates. This will have people wanting to serve their country instead of worrying about pronouns and what gender someone believes they are.",reinforce
1807,Is the the projection of what genecide Joe's going to do??? Joe's gota go!,reinforce
1808,"I asked my boyfriend WHY do you keep buying that fake news Washington Post. He said for the paper, it lines the bird cage well and the dog uses it for potty paper (it soaks up well) if he has to go before I get home. 🤣😂🤣. Then it made total sense.",reinforce
1809,"I think it's very clear: Trump pretends to be a patriot, but despises the vets and the army. What didn't you understand?",reinforce
1810,"Oh no, Fat Boy, you do the best job of damaging yourself with voters!",reinforce
1811,But the difference is Hunter was guilty!!,reinforce
1812,"Nicely stated, President Trump!",reinforce
1813,And who cares if you did! It would be good for most of the degenerates in this country. Might help turn the country around!,reinforce
1814,"You shouldn’t reject it; it’s what’s needed. If the parents aren’t up to the task, then SOMEBODY needs to kick some decency into the asses of the degenerate youth. 🤷🏻‍♂️",reinforce
1815,The reason the WP came out with this story is because this is what the Dems are actually thinking about. They do this all the time… Blame the Reps when they’re actually doing it behind-the-scenes,reinforce
1816,All liars and even crooked joe knows it. Communists will be Communists.,reinforce
1817,And Brennan,reinforce
1818,We can stop it from happening again for another 200 years with 12’ of rope*(51 former intelligence agents + everyone who was still at DOJ who lied to the American people approx 30.). That’s about 972 feet of rope for $138.00. We could have done it for less than $100 under Trump. # Bidenflation # Sedition # Treason,reinforce
1819,Because everyone knows Biden will commute his sentence! He will serve no time!,reinforce
1820,The Washington Post is propaganda.,reinforce
1821,Who even reads or follows anything the Washington Post says or does? Bunch of liberal idiots that operate in total lies and propaganda. Scum of the earth.,reinforce
1822,You again? Being all gay for Trump again? Does your wife know you’re out of the closet yet?,reinforce
1823,"Mr T , we know that We Can win and have to We n or Our Constitutional Republic Falls !! Not on my Watch .. Not on my Watch",reinforce
1824,"Propaganda to sell papers, lies, and more lies. Who said if you tell a lie enough times some will start to believe it!!",reinforce
1825,"Truly anything the Washington post says is always a lie! They’re all in trouble cause no one believes their lies except the loony left wackos. God help us if the democrats keep power, we will loose what’s left of our country. WAKE UP AMERICA, PRAY AND VOTE!!!",reinforce
1826,"You, Donny, are the very last one to talk about 'military service'. You are a disgrace to the military. Your rich daddy helped you to chicken out of the draft and you have insulted vets and the military at every turn. The funny thing is that bit by bit no one has to 'damage your with the voters'. I hear that attendance at rallies is dwindling, there are many empty seats, folk get bored with your whingeing and start to leave early, your 100,000 attendees turns you to be a lot less - 4,000 in the Bronx NOT 30,000 - and many MAGA folk are getting a bit fed up with you. So with that on your back, you don't need external damage. You are dumb enough to cut your own throat. Consider, you WOULDN'T be in your bloody awful legal mess if you realised you are not half as smart as you think you are. As for the vets and military, take a look . . .",challenge
1827,I think that would make men it of sissy’s,reinforce
1828,Compost 🤣😂,reinforce
1829,No😊I just have my ￼eyes wide open to what’s really happening.,reinforce
1830,Perhaps bone spurs run in the family?? LMFAO!,reinforce
1831,"You claiming to be a veteran, lame, and pathetic from the likes of you.",reinforce
1832,And meme 🤡 clown if you can't prove it congratulations you're a communist engaging in Nazi Germany blame the other side tactics. Well let's see if you're as smart as you think fictional propagandists have made you or if you want to prove to everybody that you're just a communist repeating fictional propaganda and which you cannot back up because you're so politically ignorant due to fictional propaganda. Here is your chance to shine but you will crash and burn in front of everyone. PROVE ME WRONG. Comminest become flummoxed bewildered & perplexed easily when you ask about what he lied about. They downloaded these arbitrary numbers propaganda feeds them through repetition impression brainwashing.,reinforce
1833,Yours maggot!!! Did you got your pussy grabbed today by the orange barking clown??,reinforce
1834,"No how can we, when after 7 years of lies, decent and condination of a former president. Long to this country allowing millions off illegals into this country. Just how can you trust them anymore!",reinforce
1835,Let’s see the sentence and hey what about the billions in tax money Hunter owes?,reinforce
1836,"Absolute fuckery always with these radicals. The media is an active enemy of the American people, their lies affect everyone in America. The legacy media, have turned us into a pack of rabid dogs against each other politically, socially and spiritually. The real damage is to all of us collectively, their lies are fake news and disinformation for us all.",reinforce
1837,FAKE NEWS ; Media is the ENEMY,reinforce
1838,LOL you are a pathetic troll. You're only following Donald Trump so you can spew your venomous bullshit lies. 😂🤡,reinforce
1839,There is no video because he never said it🙄 I suggest you do your own research on things instead of blindly following the media they lie about everything FOX CNN all of them LIE.,reinforce
1840,Fake News lies period.,reinforce
1841,Start sueing for defamation of character,reinforce
1842,Donald Trump 🙂‍↔️♥️,reinforce
1843,Look at the timeline and how long it took to find Hunter guilty. Slow justice and blocking the investigation all the way.,reinforce
1844,"🤷‍♂️😂 Only thing too do here is calm down with a new krazz called ""do the Biden""! ⇩",reinforce
1845,"Oh, so you're proud that you're deranged. Because you absolutely are. Seek help.",reinforce
1846,Hunter gun charger is 1% of the crimes he should have been changed with Trump charges are a political hit job the system is rigged and this is absolutely proff of a corrupt system,reinforce
1847,"Caught in another lie, you pig.",reinforce
1848,Lets see what the sentence is shall we ?,reinforce
1849,"I personally have no issue with mandatory military service, especially for young adults. However, anyone who is drafted should never be sent to fight a foreign war. Conscription is for defense of the homeland and only by order of a competent Commander in Chief. All other military enlistments and deployments are on a voluntary basis. The legal age for conscription should be 18 and the right to own a hand gun will also be 18. Pay for all military personnel shall be dramatically increased and doubled if they are sent into battle. No politician shall be paid more than a soldier going into battle and no politician shall have health benefits that exceed those in the military. The salary and benefits for all who have served shall continue for life and the salary and benefits for politicians shall end when they leave office.",shift
1850,"Hey! There it is!! Page 1 of MAGA playbook: If you see a Veteran that is not on his knees and sucking trump’s cock like you lovingly do, hurl a quick “stolen valor” slur and then get right back to sucking trump’s cock.” LMFAO!! Fuck you, you pussy ass bitch. Buh-BYE, bitch!",reinforce
1851,The only facts your ignorant cult can accurately point out. 😆 🤣 😂 😹,reinforce
1852,"🤬 AND ELECTION INTERFERENCE IS 100% TREASON AGAINST AMERICA & THE TRUE VOTE & WILL OF THE AMERICAN PEOPLE! 🤬 ELECTION INTERFERENCE IS TREASON PURE & SIMPLE! 🤬 IF ELECTION INTERFERENCE WAS ALWAYS PROSECUTED & PUNISHED AS TREASON, IT WOULD BE A NON-FACTOR TODAY!",reinforce
1853,Mr. President we don't believe the lies. You are fighting a very evil force. I pray for you and Lady M and your Family. I cried the day you left the White House(your home) I'm sorry my vote was stolen from me. The first time i ever voted in my life was in 2020 and it was stolen! Well let's do it again and vote vote vote to get you back to your Home. May God bless you and keep you in His care.,reinforce
1854,"Trump 2024. NOTHING, I MEAN NOTHING DEMOCRATS CAN SAY TO MOVE AMERICAN VOTERS BACK TO THEM. THEY HAVE LIED TO US SO MANY TIMES, THEY HAVE ABSOLUTELY NO CREDIBILITY.",reinforce
1855,"He stole, cheated and plagiarized and he still finished 76th in his class.",reinforce
1856,Why not sue the fake news and demand a huge amount,reinforce
1857,"Desperation has set in! Expect every trick, lie and deception known to man! Desperate people do desperate things!",reinforce
1858,Well even if it was true that’s a reason to vote Trump. This country is full of a lot of pussies. They need to be woken up and have some sense slapped into them.,reinforce
1859,Still has to sign up when you turn 18. Thats been that way for decades..,reinforce
1860,I actually think it is awesome idea being veteran myself,reinforce
1861,You lie at least 10x a day. Only your cult members believe you. # Trumpisunfitforoffice,reinforce
1862,We know nobody with any intellect ever looks at that rag . DJT24,reinforce
1863,"Wasn't it the fake washington post who worked with the agencies"" to take out an elected POTUS, Nixon?",reinforce
1864,Actually it might be a good idea to save the country with more disciplined patriots rather than bunch of lost colored hair clueless lgbtq garbage generation.,reinforce
1865,Lashing out like the cornered animals [they] are 💯 MAGA 👍,reinforce
1866,Bummer. Sucks being you.,reinforce
1867,Excellent exactly hoping someone will pull the mask off that corrupt Administration. Hold them all accountable for the crimes against not only Humanity but the American people!,reinforce
1868,COMPOST. Hahaha 😆 FJB $oros&son suicide inducing clintons Obummer,reinforce
1869,FASCIST FASCIST FASCIST FASCIST FASCIST FASCISTFASCIST FASCIST FASCISTFASCIST FASCIST FASCIST,reinforce
1870,"And if Donald J Trump were to, we would answer the call because we know there would be no other way if it was even being considered.... Imagine being able to trust your president... The next 4 are going to be good!",reinforce
1871,"🤣🤣🤣🤣🤣😂😂😂and here you are, people libfuck alert, one with extreme tds🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂he loves trump so much he just has to come here He is dreaming of Trump, trump, trump, trump 24/7, day and night, isnt that marvelous, poor little soy boy🤪🤪🤪🤪🤪🤪😜😜😜😜😜😜😜😜😜😜",reinforce
1872,Hunter is now a 3 time felon. Game over. More court to come for him in September....tax evasion!!,reinforce
1873,"Wouldn’t that be funny, the notorious draft dodger telling everyone else they must serve!",reinforce
1874,The more they print the more voters come over to the Right side. 💯❤️🙏🇺🇲 TRUMP 2024❤️🙏🇺🇲 MAKE AMERICA GREAT AGAIN. 🇺🇲,reinforce
1875,Biden insults half the NATION every day,reinforce
1876,You draft dodgers will protect each other,reinforce
1877,Let’s get you reelected so you can make them fucking pay,reinforce
